0.00	0.02	0.01
0.20	0.15	0.05
0.40	0.24	0.07
0.60	0.32	0.08
0.80	0.39	0.09
1.00	0.45	0.09
1.20	0.50	0.09
1.40	0.56	0.09
1.60	0.61	0.09
1.80	0.66	0.08
2.00	0.70	0.08
2.20	0.75	0.07
2.40	0.78	0.06
2.60	0.81	0.06
2.80	0.85	0.05
3.00	0.87	0.04
3.20	0.89	0.04
3.40	0.90	0.03
3.60	0.92	0.03
3.80	0.94	0.02
4.00	0.94	0.02
4.20	0.95	0.01
4.40	0.94	0.01
4.60	0.95	0.01
4.80	0.96	0.00
5.00	0.97	0.01
5.20	0.97	0.01
5.40	0.97	0.01
5.60	0.97	0.01
5.80	0.96	0.01
6.00	0.96	0.01
6.20	0.95	0.02
6.40	0.95	0.02
6.60	0.94	0.02
6.80	0.94	0.02
7.00	0.93	0.02
7.20	0.92	0.02
7.40	0.92	0.02
7.60	0.91	0.02
7.80	0.90	0.02
8.00	0.89	0.03
8.20	0.89	0.03
8.40	0.88	0.03
8.60	0.87	0.03
8.80	0.87	0.04
9.00	0.86	0.03
9.20	0.85	0.03
9.40	0.83	0.03
9.60	0.82	0.03
9.80	0.81	0.03
10.00	0.80	0.03
